Function,Algorithm,Mean,Std,Best,Median,Worst,TotalTimeSec,AvgTimePerRunSec,Rank
F26,GWO,9.052E+03,2.959E+02,8.100E+03,9.065E+03,9.549E+03,531.3443045,17.7114768166667,2
F26,WSO,1.985E+04,1.204E+03,1.698E+04,1.996E+04,2.215E+04,578.8247783,19.2941592766667,4
F26,SBOA,4.706E+03,2.026E+02,4.187E+03,4.786E+03,5.060E+03,601.0759484,20.0358649466667,1
F27,PSO,4.125E+03,2.454E+02,3.739E+03,4.099E+03,4.942E+03,587.2566747,19.57522249,3
F27,GWO,3.890E+03,4.971E+01,3.799E+03,3.886E+03,3.993E+03,632.2187268,21.07395756,2
F27,WSO,5.069E+03,3.091E+02,4.285E+03,5.037E+03,5.655E+03,627.8626665,20.92875555,4
F27,SBOA,3.343E+03,5.572E+01,3.267E+03,3.339E+03,3.538E+03,688.6340029,22.9544667633333,1
F28,PSO,1.035E+04,1.459E+03,4.344E+03,1.033E+04,1.312E+04,516.3141912,17.21047304,3
F28,GWO,4.338E+03,1.504E+02,4.083E+03,4.312E+03,4.780E+03,564.8521091,18.8284036366667,2
F28,WSO,1.813E+04,1.316E+03,1.560E+04,1.834E+04,2.044E+04,547.4379914,18.2479330466667,4
F28,SBOA,3.280E+03,2.286E+01,3.259E+03,3.269E+03,3.317E+03,621.8893564,20.7296452133333,1
F29,PSO,6.592E+03,1.007E+03,4.970E+03,6.466E+03,8.538E+03,354.918894,11.8306298,3
F29,GWO,5.873E+03,1.995E+02,5.556E+03,5.898E+03,6.240E+03,424.0162355,14.1338745166667,2
F29,WSO,4.122E+04,1.909E+04,1.517E+04,4.224E+04,9.164E+04,393.3761831,13.1125394366667,4
F29,SBOA,4.055E+03,2.607E+02,3.676E+03,4.030E+03,4.758E+03,453.3355531,15.1111851033333,1
F30,PSO,5.925E+08,6.161E+08,5.991E+07,3.784E+08,2.343E+09,757.8852737,25.2628424566667,3
F30,GWO,3.715E+08,7.253E+07,2.412E+08,3.572E+08,5.125E+08,12406.9878811,413.566262703333,2
F30,WSO,9.595E+09,1.799E+09,4.740E+09,9.825E+09,1.235E+10,785.7929967,26.19309989,4
F30,SBOA,2.134E+06,1.045E+06,7.698E+05,1.851E+06,5.248E+06,873.0075672,29.10025224,1
