Dim,Algorithm,K,Function,Mean,Std,Best,Median,Worst,Rank
20,BMJAYA,2,1,300,1.21274127119266e-13,300,300,300,1.5
20,BMJAYA,2,2,439.251708954765,19.0005865797591,400.000000489756,449.084478979481,449.084478979482,5
20,BMJAYA,2,3,607.396169188059,8.29317597948575,600.945537770883,604.798743449552,639.021639227484,2
20,BMJAYA,2,4,850.459316477559,31.3025559968876,814.92438081858,837.310899081193,956.851159103576,1
20,BMJAYA,2,5,1180.6077122351,415.143946613867,908.241091577379,1070.34507978739,2861.83129711511,2
20,BMJAYA,2,6,3536.55760878124,2776.9233593599,1879.19904894349,2184.3315221327,12750.511525864,1
20,BMJAYA,2,7,2110.26948751258,69.6402192808877,2026.37617112723,2081.01714025356,2238.63339124519,4
20,BMJAYA,2,8,2251.21081999278,46.3107756288268,2221.22768921052,2230.72684246915,2360.8133851869,4
20,BMJAYA,2,9,2480.78127167775,3.37777852431922e-13,2480.78127167775,2480.78127167775,2480.78127167775,1.5
20,BMJAYA,2,10,3937.365350488,1400.00842219811,2500.4867331404,3912.24027387383,7232.51513864464,2
20,BMJAYA,2,11,2913.33333333333,73.029674334022,2600,2900,3000,3
20,BMJAYA,2,12,2959.75047388083,22.3833124737702,2937.3683696657,2954.1942196695,3035.32559261916,2
20,BMJAYA,3,1,300,1.86149290965447e-13,300,300,300.000000000001,1.5
20,BMJAYA,3,2,432.044364934599,22.7835323292526,400.000047047055,449.084478979481,449.084478979482,2
20,BMJAYA,3,3,614.780054753729,9.85993164292157,602.724007988424,611.696066178544,643.728914424005,4
20,BMJAYA,3,4,853.847933125213,35.0610127818662,824.873956276056,843.778132975019,974.501605924987,2
20,BMJAYA,3,5,1559.23101736432,541.457894143508,985.085240466813,1477.29571946384,3283.87329381254,4
20,BMJAYA,3,6,3776.94755963169,2866.57162647056,1880.370961313,2597.01876454321,15128.4812741339,2
20,BMJAYA,3,7,2109.73517987542,62.6592931283661,2037.21801883498,2093.25968067885,2298.6690979594,3
20,BMJAYA,3,8,2270.72590644968,65.8362789210474,2221.63717597088,2233.47572641248,2458.65545606976,6
20,BMJAYA,3,9,2480.78127167775,6.31924498320269e-13,2480.78127167775,2480.78127167775,2480.78127167775,3.5
20,BMJAYA,3,10,4461.77107084831,1151.85199887867,2500.73565495532,4799.10907362156,6598.0705826257,7
20,BMJAYA,3,11,2923.33333333333,43.0183067152076,2900,2900,3000,4
20,BMJAYA,3,12,2966.16026776335,23.0743508233866,2936.83040329675,2958.3332237667,3019.14846543504,6
20,BMJAYA,4,1,300,1.4003529987609e-13,300,300,300.000000000001,3.5
20,BMJAYA,4,2,434.468597852896,23.3005576649088,400.000219571559,449.084478979481,471.767535159013,3
20,BMJAYA,4,3,615.695944687366,9.14337467296342,603.223334321405,613.653537223521,640.853823923506,5
20,BMJAYA,4,4,870.078012770071,50.3445151627099,828.853772307715,848.752791301565,995.363364932412,5
20,BMJAYA,4,5,1524.30909049032,527.194536953848,974.492579654411,1325.96533664269,3231.05643131472,3
20,BMJAYA,4,6,4779.56768896672,4819.10407139079,1918.08829025701,2276.10839802979,23913.6980777413,4
20,BMJAYA,4,7,2128.74965625176,80.3232156766789,2031.46748687617,2104.27492801827,2370.72088968162,5
20,BMJAYA,4,8,2255.18264256369,51.9747985235895,2221.32243849712,2225.68857761402,2365.16663132678,5
20,BMJAYA,4,9,2480.78127167775,2.26902759489779e-12,2480.78127167775,2480.78127167775,2480.78127167776,5
20,BMJAYA,4,10,4192.99210836314,1348.29758226138,2500.53766879722,4263.28400697637,7099.09783588048,5
20,BMJAYA,4,11,2894.03279347307,86.9744499593716,2600,2900,3000,1
20,BMJAYA,4,12,2963.21494652673,22.5177497522383,2938.78618154568,2957.15802079837,3038.95530625919,5
20,BMJAYA,5,1,300,1.96628256898864e-13,300,300,300.000000000001,3.5
20,BMJAYA,5,2,430.287077588092,23.1348331079918,400.000000549208,444.895469317451,449.084478979482,1
20,BMJAYA,5,3,622.364881880576,13.110312865244,605.827844383035,621.076736640315,679.818316102838,8
20,BMJAYA,5,4,868.091986532535,39.6459687062277,831.83866463789,858.702455745084,988.841484467469,4
20,BMJAYA,5,5,1862.82918161247,721.297443992053,919.946573059156,1617.73624152628,3563.0605242475,5
20,BMJAYA,5,6,4035.30855125827,4798.20214491104,1890.10927748783,2217.56783076864,21605.8260208245,3
20,BMJAYA,5,7,2154.07924514116,90.0081085794807,2053.29469004803,2134.91794800644,2418.70063128395,7
20,BMJAYA,5,8,2249.4379655167,44.3082755800165,2222.23367519183,2229.81738020241,2383.74426857363,3
20,BMJAYA,5,9,2480.78127167775,1.26666694661971e-12,2480.78127167775,2480.78127167775,2480.78127167775,3.5
20,BMJAYA,5,10,4869.96410575284,1505.23884859514,2500.77275980456,4917.89365524761,7677.7917118986,8
